"","genres_1","genres_2","genres_3","genres_4","genres_5","genres_6","genres_7","genres_8","genres_9","href","id","name","popularity","type","uri","external_urls.spotify","followers.href","followers.total","num_genres"
"16","pop",NA,NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/6KImCVD70vtIoJWnq6nGn3","6KImCVD70vtIoJWnq6nGn3","Harry Styles",84,"artist","spotify:artist:6KImCVD70vtIoJWnq6nGn3","https://open.spotify.com/artist/6KImCVD70vtIoJWnq6nGn3",NA,32887264,1
"17","piano rock","pop",NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/5Pwc4xIPtQLFEnJriah9YJ","5Pwc4xIPtQLFEnJriah9YJ","OneRepublic",85,"artist","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","https://open.spotify.com/artist/5Pwc4xIPtQLFEnJriah9YJ",NA,17468119,2
"18","atl hip hop","contemporary r&b","dance pop","pop","r&b","rap","south carolina hip hop","urban contemporary",NA,"https://api.spotify.com/v1/artists/23zg3TcAtWQy7J6upgbUnj","23zg3TcAtWQy7J6upgbUnj","USHER",83,"artist","spotify:artist:23zg3TcAtWQy7J6upgbUnj","https://open.spotify.com/artist/23zg3TcAtWQy7J6upgbUnj",NA,12126459,8
"19","r&b","soul",NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/3fMbdgg4jU18AjLCKBhRSm","3fMbdgg4jU18AjLCKBhRSm","Michael Jackson",84,"artist","spotify:artist:3fMbdgg4jU18AjLCKBhRSm","https://open.spotify.com/artist/3fMbdgg4jU18AjLCKBhRSm",NA,32560821,2
"20","acoustic pop","dance pop","neo mellow","pop",NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/4phGZZrJZRo4ElhRtViYdl","4phGZZrJZRo4ElhRtViYdl","Jason Mraz",73,"artist","spotify:artist:4phGZZrJZRo4ElhRtViYdl","https://open.spotify.com/artist/4phGZZrJZRo4ElhRtViYdl",NA,7227029,4
"21","pop",NA,NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/69GGBxA162lTqCwzJG5jLp","69GGBxA162lTqCwzJG5jLp","The Chainsmokers",82,"artist","spotify:artist:69GGBxA162lTqCwzJG5jLp","https://open.spotify.com/artist/69GGBxA162lTqCwzJG5jLp",NA,20482115,1
"22","dance pop","neo mellow","pop","pop rock",NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/3FUY2gzHeIiaesXtOAdB7A","3FUY2gzHeIiaesXtOAdB7A","Train",76,"artist","spotify:artist:3FUY2gzHeIiaesXtOAdB7A","https://open.spotify.com/artist/3FUY2gzHeIiaesXtOAdB7A",NA,4307051,4
"23","celtic rock","pop",NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/3AQRLZ9PuTAozP28Skbq8V","3AQRLZ9PuTAozP28Skbq8V","The Script",77,"artist","spotify:artist:3AQRLZ9PuTAozP28Skbq8V","https://open.spotify.com/artist/3AQRLZ9PuTAozP28Skbq8V",NA,8169412,2
"24","dance pop","miami hip hop","pop","pop rap",NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/0jnsk9HBra6NMjO2oANoPY","0jnsk9HBra6NMjO2oANoPY","Flo Rida",80,"artist","spotify:artist:0jnsk9HBra6NMjO2oANoPY","https://open.spotify.com/artist/0jnsk9HBra6NMjO2oANoPY",NA,8639947,4
"25","dance pop","pop",NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/0du5cEVh5yTK9QJze8zA0C","0du5cEVh5yTK9QJze8zA0C","Bruno Mars",93,"artist","spotify:artist:0du5cEVh5yTK9QJze8zA0C","https://open.spotify.com/artist/0du5cEVh5yTK9QJze8zA0C",NA,59407153,2
"26","modern rock","pop","rock",NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/53XhwfbYqKCa1cC15pYq2q","53XhwfbYqKCa1cC15pYq2q","Imagine Dragons",89,"artist","spotify:artist:53XhwfbYqKCa1cC15pYq2q","https://open.spotify.com/artist/53XhwfbYqKCa1cC15pYq2q",NA,54631946,3
"27","indietronica","metropopolis","pop","uk pop",NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/0X2BH1fck6amBIoJhDVmmJ","0X2BH1fck6amBIoJhDVmmJ","Ellie Goulding",80,"artist","spotify:artist:0X2BH1fck6amBIoJhDVmmJ","https://open.spotify.com/artist/0X2BH1fck6amBIoJhDVmmJ",NA,12555855,4
"28","permanent wave","pop",NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/4gzpq5DPGxSnKTe4SA8HAU","4gzpq5DPGxSnKTe4SA8HAU","Coldplay",91,"artist","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU",NA,53539867,2
"29","dance pop","pop","pop rap",NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/1yxSLGMDHlW21z4YXirZDS","1yxSLGMDHlW21z4YXirZDS","Black Eyed Peas",81,"artist","spotify:artist:1yxSLGMDHlW21z4YXirZDS","https://open.spotify.com/artist/1yxSLGMDHlW21z4YXirZDS",NA,8411427,3
"30","dance pop","edm","electro house","house","pop","progressive house","uk dance",NA,NA,"https://api.spotify.com/v1/artists/7CajNmpbOovFoOoasH2HaY","7CajNmpbOovFoOoasH2HaY","Calvin Harris",87,"artist","spotify:artist:7CajNmpbOovFoOoasH2HaY","https://open.spotify.com/artist/7CajNmpbOovFoOoasH2HaY",NA,22865456,7
"31","boy band","pop",NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/7gOdHgIoIKoe4i9Tta6qdD","7gOdHgIoIKoe4i9Tta6qdD","Jonas Brothers",75,"artist","spotify:artist:7gOdHgIoIKoe4i9Tta6qdD","https://open.spotify.com/artist/7gOdHgIoIKoe4i9Tta6qdD",NA,7657967,2
